"Bee Species","Nectar Plant Species","0-10m","10-20m","20-30m","30-40m","40-50m","50-60m","60-70m","70-80m","80-90m","90-100m"
"Solitary Bee","partridge pea","1","0","0","0","0","0","0","0","0","0"
"Solitary Bee","ox eye sunflower","1","0","0","0","0","1","0","0","2","0"
"Solitary Bee","showy tick trefoil","0","1","0","0","0","0","0","0","0","0"
"Solitary Bee","canada goldenrod","0","0","0","0","0","0","2","0","1","0"
"Solitary Bee","round headed bush clover","0","0","0","0","0","0","0","8","0","0"
"Solitary Bee","butterfly milkweed","0","0","0","0","0","0","0","0","1","0"
"Bumble Bee","round headed bush clover","0","0","0","0","0","0","0","2","0","0"
