"Bee Species","Nectar Plant Species","0-10m","10-20m","20-30m","30-40m","40-50m","50-60m","60-70m","70-80m","80-90m","90-100m"
"Solitary Bee","common yarrow","1","0","0","0","0","0","0","0","0","0"
"Solitary Bee","canada thistle","1","0","0","0","0","0","0","0","0","0"
"Solitary Bee","wild bergamot","0","0","0","2","0","0","0","0","0","0"
"Solitary Bee","ox eye sunflower","0","0","0","2","0","0","0","0","0","1"
"Honey Bee","birdsfoot trefoil","1","0","0","0","0","0","0","0","0","0"
"Bumble Bee","wild bergamot","0","0","0","3","2","0","0","0","0","1"
