"Bee Species","Nectar Plant Species","0-10m","10-20m","20-30m","30-40m","40-50m","50-60m","60-70m","70-80m","80-90m","90-100m"
"Solitary Bee","ox eye sunflower","2","0","1","0","1","1","","","",""
"Solitary Bee","new england aster","3","0","0","0","0","0","","","",""
"Solitary Bee","red clover","0","0","0","0","2","0","","","",""
"Solitary Bee","queen annes lace","1","0","0","0","0","1","","","",""
"Bumble Bee","ox eye sunflower","0","0","1","0","0","0","","","",""
"Bumble Bee","red clover","0","0","1","0","1","0","","","",""
